"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Índice de precios al consumidor",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,
,"IPC general","IPC variación mensual","IPC variación interanual"
1990-Enero,14.02,--,--
1990-Febrero,14.25,1.67,--
1990-Marzo,14.67,2.97,--
1990-Abril,15.24,3.85,--
1990-Mayo,16.16,6.01,--
1990-Junio,16.75,3.65,--
1990-Julio,17.34,3.51,--
1990-Agosto,17.50,0.93,--
1990-Setiembre,18.57,6.12,--
1990-Octubre,19.32,4.07,--
1990-Noviembre,20.06,3.83,--
1990-Diciembre,21.74,8.34,--
1991-Enero,22.52,3.62,60.67
1991-Febrero,22.44,-0.36,57.46
1991-Marzo,22.47,0.13,53.12
1991-Abril,22.78,1.37,49.46
1991-Mayo,23.03,1.09,42.52
1991-Junio,23.22,0.86,38.67
1991-Julio,23.27,0.21,34.25
1991-Agosto,23.62,1.50,35.00
1991-Setiembre,23.45,-0.71,26.32
1991-Octubre,23.48,0.11,21.51
1991-Noviembre,23.60,0.53,17.65
1991-Diciembre,23.92,1.32,10.03
1992-Enero,24.02,0.43,6.64
1992-Febrero,24.27,1.04,8.14
1992-Marzo,24.73,1.89,10.04
1992-Abril,24.92,0.78,9.41
1992-Mayo,25.11,0.75,9.04
1992-Junio,25.30,0.76,8.94
1992-Julio,25.70,1.59,10.43
1992-Agosto,25.90,0.79,9.66
1992-Setiembre,26.08,0.68,11.19
1992-Octubre,26.20,0.45,11.57
1992-Noviembre,26.72,2.00,13.20
1992-Diciembre,27.32,2.23,14.22
1993-Enero,27.45,0.47,14.27
1993-Febrero,27.50,0.21,13.33
1993-Marzo,27.70,0.73,12.04
1993-Abril,28.09,1.39,12.71
1993-Mayo,28.25,0.59,12.54
1993-Junio,28.94,2.42,14.39
1993-Julio,29.62,2.37,15.27
1993-Agosto,29.70,0.25,14.65
1993-Setiembre,29.57,-0.44,13.38
1993-Octubre,29.74,0.58,13.52
1993-Noviembre,30.13,1.31,12.75
1993-Diciembre,30.50,1.22,11.64
1994-Enero,31.15,2.14,13.49
1994-Febrero,31.44,0.95,14.32
1994-Marzo,31.62,0.57,14.14
1994-Abril,32.00,1.19,13.91
1994-Mayo,32.25,0.79,14.14
1994-Junio,32.35,0.31,11.79
1994-Julio,32.50,0.45,9.70
1994-Agosto,32.89,1.20,10.74
1994-Setiembre,33.11,0.67,11.97
1994-Octubre,33.40,0.87,12.31
1994-Noviembre,33.87,1.43,12.44
1994-Diciembre,34.03,0.46,11.59
1995-Enero,34.05,0.06,9.32
1995-Febrero,33.94,-0.33,7.94
1995-Marzo,34.10,0.48,7.84
1995-Abril,34.36,0.77,7.39
1995-Mayo,34.87,1.48,8.12
1995-Junio,35.31,1.26,9.15
1995-Julio,35.38,0.21,8.89
1995-Agosto,35.60,0.61,8.25
1995-Setiembre,35.80,0.56,8.13
1995-Octubre,36.30,1.40,8.69
1995-Noviembre,36.78,1.31,8.57
1995-Diciembre,36.96,0.50,8.61
1996-Enero,37.37,1.12,9.76
1996-Febrero,37.61,0.64,10.83
1996-Marzo,38.01,1.07,11.48
1996-Abril,38.47,1.19,11.95
1996-Mayo,38.71,0.63,11.02
1996-Junio,38.96,0.64,10.34
1996-Julio,39.49,1.36,11.60
1996-Agosto,39.88,0.99,12.03
1996-Setiembre,40.01,0.33,11.77
1996-Octubre,40.16,0.37,10.64
1996-Noviembre,40.62,1.14,10.44
1996-Diciembre,40.97,0.87,10.85
1997-Enero,41.41,1.07,10.80
1997-Febrero,42.38,2.33,12.66
1997-Marzo,42.39,0.03,11.51
1997-Abril,42.37,-0.05,10.13
1997-Mayo,42.43,0.16,9.61
1997-Junio,42.45,0.05,8.97
1997-Julio,42.64,0.44,7.98
1997-Agosto,43.09,1.05,8.05
1997-Setiembre,43.35,0.60,8.33
1997-Octubre,43.57,0.51,8.48
1997-Noviembre,43.73,0.37,7.66
1997-Diciembre,43.89,0.37,7.13
1998-Enero,44.43,1.22,7.29
1998-Febrero,44.68,0.58,5.45
1998-Marzo,44.98,0.65,6.11
1998-Abril,45.31,0.73,6.94
1998-Mayo,45.54,0.51,7.32
1998-Junio,45.61,0.15,7.43
1998-Julio,45.74,0.30,7.27
1998-Agosto,45.81,0.14,6.31
1998-Setiembre,45.73,-0.17,5.49
1998-Octubre,45.73,0.01,4.97
1998-Noviembre,46.94,2.65,7.35
1998-Diciembre,47.17,0.49,7.48
1999-Enero,47.22,0.11,6.29
1999-Febrero,46.99,-0.49,5.17
1999-Marzo,46.77,-0.47,3.99
1999-Abril,46.88,0.23,3.47
1999-Mayo,47.24,0.76,3.73
1999-Junio,47.53,0.63,4.22
1999-Julio,48.13,1.25,5.22
1999-Agosto,48.57,0.92,6.03
1999-Setiembre,48.83,0.54,6.79
1999-Octubre,49.20,0.74,7.57
1999-Noviembre,49.36,0.34,5.15
1999-Diciembre,49.49,0.27,4.92
2000-Enero,49.71,0.45,5.27
2000-Febrero,50.10,0.79,6.62
2000-Marzo,50.64,1.08,8.28
2000-Abril,51.13,0.96,9.07
2000-Mayo,50.72,-0.81,7.36
2000-Junio,50.97,0.50,7.23
2000-Julio,51.08,0.22,6.14
2000-Agosto,50.86,-0.44,4.71
2000-Setiembre,50.93,0.14,4.29
2000-Octubre,51.08,0.30,3.84
2000-Noviembre,51.42,0.66,4.17
2000-Diciembre,52.01,1.14,5.08
2001-Enero,52.72,1.37,6.05
2001-Febrero,53.11,0.73,5.99
2001-Marzo,53.39,0.53,5.42
2001-Abril,53.62,0.44,4.87
2001-Mayo,53.78,0.30,6.05
2001-Junio,54.18,0.74,6.30
2001-Julio,54.65,0.86,6.98
2001-Agosto,55.33,1.26,8.79
2001-Setiembre,55.51,0.32,8.99
2001-Octubre,55.92,0.75,9.47
2001-Noviembre,56.31,0.70,9.51
2001-Diciembre,56.64,0.59,8.91
2002-Enero,57.39,1.31,8.85
2002-Febrero,57.89,0.88,9.01
2002-Marzo,58.26,0.64,9.13
2002-Abril,58.58,0.55,9.25
2002-Mayo,58.79,0.35,9.31
2002-Junio,59.13,0.58,9.14
2002-Julio,59.62,0.83,9.10
2002-Agosto,59.61,-0.02,7.73
2002-Setiembre,59.45,-0.27,7.10
2002-Octubre,59.61,0.28,6.60
2002-Noviembre,59.89,0.46,6.34
